Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
1. Add Campaign - Step 2 Payout Core,PAY-F-030,Verify CPA payout with 'FTD' variable + QFTD enabled + Bonus enabled saves correctly,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-031,Verify selecting 'Rev Share' plan updates 'Commission Variable' options (e.g. NGR/GGR),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-032,Verify Rev Share payout accepts only valid percentage values (0-100),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-033,Verify Rev Share payout with Bonus enabled saves correctly,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-034,Verify 'Hybrid' plan displays and requires both CPA (fixed) and Rev Share (percentage) fields,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-035,Verify Hybrid plan with QFTD enabled applies rules correctly,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-036,Verify Hybrid plan with Bonus enabled applies rules correctly,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Payout Core,PAY-F-037,Verify Hybrid plan with QFTD enabled and Bonus enabled saves correctly,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Visibility,PAY-F-038,Verify 'Private' visibility reveals a multi-select dropdown for specific Affiliates,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Visibility,PAY-F-039,Verify 'Group' visibility reveals a dropdown to select predefined Affiliate Groups,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Visibility,PAY-F-040,Verify 'Ask For Permission' visibility saves correctly and prevents immediate access,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Validation,PAY-F-041,Verify validation error when saving Hybrid plan with missing CPA or Rev Share values,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Validation,PAY-F-042,Verify QFTD conditions (Days/Bets) reject negative numbers,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Add Campaign - Step 2 Validation,PAY-F-043,Verify Bonus conditions (Bonus Payout/Value/Days) reject negative numbers,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-044,Verify Multiple Geo Overrides with independent Tiered Payouts (e.g. BR tiers vs IN tiers),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-045,Verify Affiliate-Specific Hybrid Payouts (VIP Affiliate gets custom CPA + Rev Share mix),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-046,Verify Scheduled Seasonal Promos: Set start/end date for a temporary payout hike,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-047,Verify Negative Rev Share handling: Check if negative NGR carries over or resets to 0 (Admin setting check),P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-048,Verify QFTD + Tiered intersection: Ensure tiers only increment for FTDs meeting QFTD criteria,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-049,Verify Group Visibility + Private Override priority (Affiliate in Group sees their specific override),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-050,Verify Bulk Geo selection in Payout Override modal (Applying same rule to multiple countries),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-051,Verify Post-Registration Bonus: Extra payout if FTD occurs within X minutes/hours of registration,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-052,Verify Currency Conversion Accuracy: Set campaign in USD but payout override in another currency,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-053,Verify Base Payout edit: Change campaign default payout and verify overrides remain intact,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
8. Advanced Payout Permutations,PAY-F-054,Verify Multi-Product Payouts: Assign different CPA values to different products within the same campaign,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
9. Payout Caps & Tracking Logic,PAY-F-055,Verify Daily/Monthly Payout Caps: Campaign redirects traffic once budget limit is hit,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
9. Payout Caps & Tracking Logic,PAY-F-056,Verify Cap Notifications: System sends alerts when 80%/90% of payout cap is reached,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
9. Payout Caps & Tracking Logic,PAY-F-057,Verify Dynamic Postback Payouts: {{payout}} macro passes the override value to affiliate tracker,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
9. Payout Caps & Tracking Logic,PAY-F-058,Verify Tax/Admin Fee deductions: Reports reflect net payout after configured system fees,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
9. Payout Caps & Tracking Logic,PAY-F-059,Verify Payout Reversal: Changing conversion status to 'Declined' deducts payout from balance,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Security & Dashboard Visibility,PAY-F-060,Verify Access Control: Affiliates not in the selected 'Group/Private' list cannot see the campaign payout,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Security & Dashboard Visibility,PAY-F-061,Verify Dashboard Transparency: Affiliates with Private Overrides see their custom payout vs the Public base rate,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Security & Dashboard Visibility,PAY-F-062,Verify Hierarchy Priority: Specific Affiliate Override takes precedence over Group-level and Campaign-level defaults,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
