Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
CPA - FTD,MATH-PAY-017,Var:FTD|Mod:Bonus %|Behav:Action Fail,P0,Execute step for CPA FTD with Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-018,Var:FTD|Mod:Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with Bonus % and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-019,Var:FTD|Mod:Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-020,"Var:FTD|Mod:Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - FTD,MATH-PAY-021,Var:FTD|Mod:QFTD Flat + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD Flat + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-022,Var:FTD|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD Flat + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-023,Var:FTD|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-024,"Var:FTD|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
CPA - FTD,MATH-PAY-025,Var:FTD|Mod:QFTD % + Bonus %|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD % + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-026,Var:FTD|Mod:QFTD % + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD % + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-027,Var:FTD|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD % + Bonus % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - FTD,MATH-PAY-028,"Var:FTD|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD % + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $20.00,,Pending,
CPA - FTD,MATH-PAY-029,Var:FTD|Mod:QFTD Flat + Bonus %|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD Flat + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-030,Var:FTD|Mod:QFTD Flat + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD Flat + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-031,Var:FTD|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD Flat + Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - FTD,MATH-PAY-032,"Var:FTD|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD Flat + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - FTD,MATH-PAY-033,Var:FTD|Mod:QFTD % + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA FTD with QFTD % + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-034,Var:FTD|Mod:QFTD % + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA FTD with QFTD % + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - FTD,MATH-PAY-035,Var:FTD|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA FTD with QFTD % + Bonus Flat and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - FTD,MATH-PAY-036,"Var:FTD|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA FTD with QFTD % + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $25.00,,Pending,
CPA - Registration,MATH-PAY-037,Var:Registration|Mod:None|Behav:Action Fail,P0,Execute step for CPA Registration with None and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-038,Var:Registration|Mod:None|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with None and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-039,Var:Registration|Mod:None|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with None and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-040,"Var:Registration|Mod:None|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with None and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-041,Var:Registration|Mod:QFTD Flat|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-042,Var:Registration|Mod:QFTD Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-043,Var:Registration|Mod:QFTD Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-044,"Var:Registration|Mod:QFTD Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-045,Var:Registration|Mod:QFTD %|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-046,Var:Registration|Mod:QFTD %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-047,Var:Registration|Mod:QFTD %|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Registration,MATH-PAY-048,"Var:Registration|Mod:QFTD %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $10.00,,Pending,
CPA - Registration,MATH-PAY-049,Var:Registration|Mod:Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Registration with Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-050,Var:Registration|Mod:Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with Bonus Flat and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-051,Var:Registration|Mod:Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-052,"Var:Registration|Mod:Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
CPA - Registration,MATH-PAY-053,Var:Registration|Mod:Bonus %|Behav:Action Fail,P0,Execute step for CPA Registration with Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-054,Var:Registration|Mod:Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with Bonus % and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-055,Var:Registration|Mod:Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-056,"Var:Registration|Mod:Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - Registration,MATH-PAY-057,Var:Registration|Mod:QFTD Flat + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD Flat + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-058,Var:Registration|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD Flat + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-059,Var:Registration|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-060,"Var:Registration|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
CPA - Registration,MATH-PAY-061,Var:Registration|Mod:QFTD % + Bonus %|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD % + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-062,Var:Registration|Mod:QFTD % + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD % + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-063,Var:Registration|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD % + Bonus % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Registration,MATH-PAY-064,"Var:Registration|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD % + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $20.00,,Pending,
CPA - Registration,MATH-PAY-065,Var:Registration|Mod:QFTD Flat + Bonus %|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD Flat + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-066,Var:Registration|Mod:QFTD Flat + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD Flat + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-067,Var:Registration|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD Flat + Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Registration,MATH-PAY-068,"Var:Registration|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD Flat + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - Registration,MATH-PAY-069,Var:Registration|Mod:QFTD % + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Registration with QFTD % + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-070,Var:Registration|Mod:QFTD % + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Registration with QFTD % + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Registration,MATH-PAY-071,Var:Registration|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Registration with QFTD % + Bonus Flat and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Registration,MATH-PAY-072,"Var:Registration|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Registration with QFTD % + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $25.00,,Pending,
CPA - Deposit,MATH-PAY-073,Var:Deposit|Mod:None|Behav:Action Fail,P0,Execute step for CPA Deposit with None and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-074,Var:Deposit|Mod:None|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with None and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-075,Var:Deposit|Mod:None|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with None and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-076,"Var:Deposit|Mod:None|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with None and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-077,Var:Deposit|Mod:QFTD Flat|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-078,Var:Deposit|Mod:QFTD Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-079,Var:Deposit|Mod:QFTD Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-080,"Var:Deposit|Mod:QFTD Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-081,Var:Deposit|Mod:QFTD %|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-082,Var:Deposit|Mod:QFTD %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-083,Var:Deposit|Mod:QFTD %|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Deposit,MATH-PAY-084,"Var:Deposit|Mod:QFTD %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $10.00,,Pending,
CPA - Deposit,MATH-PAY-085,Var:Deposit|Mod:Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Deposit with Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-086,Var:Deposit|Mod:Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with Bonus Flat and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-087,Var:Deposit|Mod:Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-088,"Var:Deposit|Mod:Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
CPA - Deposit,MATH-PAY-089,Var:Deposit|Mod:Bonus %|Behav:Action Fail,P0,Execute step for CPA Deposit with Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-090,Var:Deposit|Mod:Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with Bonus % and behavior Action Pass (Low Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-091,Var:Deposit|Mod:Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-092,"Var:Deposit|Mod:Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - Deposit,MATH-PAY-093,Var:Deposit|Mod:QFTD Flat + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD Flat + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-094,Var:Deposit|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD Flat + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-095,Var:Deposit|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-096,"Var:Deposit|Mod:QFTD Flat + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD Flat + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $65.00,,Pending,
CPA - Deposit,MATH-PAY-097,Var:Deposit|Mod:QFTD % + Bonus %|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD % + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-098,Var:Deposit|Mod:QFTD % + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD % + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-099,Var:Deposit|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD % + Bonus % and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Deposit,MATH-PAY-100,"Var:Deposit|Mod:QFTD % + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD % + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $20.00,,Pending,
CPA - Deposit,MATH-PAY-101,Var:Deposit|Mod:QFTD Flat + Bonus %|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD Flat + Bonus % and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-102,Var:Deposit|Mod:QFTD Flat + Bonus %|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD Flat + Bonus % and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-103,Var:Deposit|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD Flat + Bonus % and behavior Action Pass (High Vol),Calculated: $50.00,,Pending,
CPA - Deposit,MATH-PAY-104,"Var:Deposit|Mod:QFTD Flat + Bonus %|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD Flat + Bonus % and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $60.00,,Pending,
CPA - Deposit,MATH-PAY-105,Var:Deposit|Mod:QFTD % + Bonus Flat|Behav:Action Fail,P0,Execute step for CPA Deposit with QFTD % + Bonus Flat and behavior Action Fail,Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-106,Var:Deposit|Mod:QFTD % + Bonus Flat|Behav:Action Pass (Low Vol),P0,Execute step for CPA Deposit with QFTD % + Bonus Flat and behavior Action Pass (Low Vol),Calculated: $0.00,,Pending,
CPA - Deposit,MATH-PAY-107,Var:Deposit|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol),P0,Execute step for CPA Deposit with QFTD % + Bonus Flat and behavior Action Pass (High Vol),Calculated: $10.00,,Pending,
CPA - Deposit,MATH-PAY-108,"Var:Deposit|Mod:QFTD % + Bonus Flat|Behav:Action Pass (High Vol, Time Limit Met)",P0,"Execute step for CPA Deposit with QFTD % + Bonus Flat and behavior Action Pass (High Vol, Time Limit Met)",Calculated: $25.00,,Pending,
Rev Share - FTD,MATH-PAY-109,Var:FTD|Mod:None|Val:200|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with None, value 200, behavior Pass QFTD & Time",Calculated: $60.00,,Pending,
Rev Share - FTD,MATH-PAY-110,Var:FTD|Mod:None|Val:50|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with None, value 50, behavior Pass QFTD & Time",Calculated: $15.00,,Pending,
Rev Share - FTD,MATH-PAY-111,Var:FTD|Mod:None|Val:-50|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with None, value -50, behavior Pass QFTD & Time",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-112,Var:FTD|Mod:None|Val:0|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with None, value 0, behavior Pass QFTD & Time",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-113,Var:FTD|Mod:QFTD Flat|Val:200|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with QFTD Flat, value 200, behavior Pass QFTD & Time",Calculated: $60.00,,Pending,
Rev Share - FTD,MATH-PAY-114,Var:FTD|Mod:QFTD Flat|Val:200|Behav:Fail QFTD,P0,"Execute step for RevShare FTD with QFTD Flat, value 200, behavior Fail QFTD",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-115,Var:FTD|Mod:QFTD Flat|Val:200|Behav:Pass QFTD Fail Time,P0,"Execute step for RevShare FTD with QFTD Flat, value 200, behavior Pass QFTD Fail Time",Calculated: $60.00,,Pending,
Rev Share - FTD,MATH-PAY-116,Var:FTD|Mod:QFTD Flat|Val:50|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with QFTD Flat, value 50, behavior Pass QFTD & Time",Calculated: $15.00,,Pending,
Rev Share - FTD,MATH-PAY-117,Var:FTD|Mod:QFTD Flat|Val:50|Behav:Fail QFTD,P0,"Execute step for RevShare FTD with QFTD Flat, value 50, behavior Fail QFTD",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-118,Var:FTD|Mod:QFTD Flat|Val:50|Behav:Pass QFTD Fail Time,P0,"Execute step for RevShare FTD with QFTD Flat, value 50, behavior Pass QFTD Fail Time",Calculated: $15.00,,Pending,
Rev Share - FTD,MATH-PAY-119,Var:FTD|Mod:QFTD Flat|Val:-50|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with QFTD Flat, value -50, behavior Pass QFTD & Time",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-120,Var:FTD|Mod:QFTD Flat|Val:-50|Behav:Fail QFTD,P0,"Execute step for RevShare FTD with QFTD Flat, value -50, behavior Fail QFTD",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-121,Var:FTD|Mod:QFTD Flat|Val:-50|Behav:Pass QFTD Fail Time,P0,"Execute step for RevShare FTD with QFTD Flat, value -50, behavior Pass QFTD Fail Time",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-122,Var:FTD|Mod:QFTD Flat|Val:0|Behav:Pass QFTD & Time,P0,"Execute step for RevShare FTD with QFTD Flat, value 0, behavior Pass QFTD & Time",Calculated: $0.00,,Pending,
Rev Share - FTD,MATH-PAY-123,Var:FTD|Mod:QFTD Flat|Val:0|Behav:Fail QFTD,P0,"Execute step for RevShare FTD with QFTD Flat, value 0, behavior Fail QFTD",Calculated: $0.00,,Pending,
