Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
1. Brands Dashboard UI,BD-UI-020,Verify Inactive status badge color,P1,Execute step per TC description,Calrification needed,,Pending,
1. Brands Dashboard UI,BD-UI-021,Verify pagination numbers,P1,"High level , need to break further",System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-022,Verify items per page dropdown,P1,"Need to futher breakdown , as there are options for no of rows as 10 , 20 , 50 , 100",System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-023,Verify total brand count display,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-024,Verify Manage button in Actions,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-025,Verify More Actions (...) dropdown,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-026,Verify row hover effect,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-027,Verify tooltip for truncated text,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-028,Verify Geo column alignment,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-029,Verify Created On date format,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-030,Verify empty state message,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-031,Verify sidebar navigation highlighting,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-032,Verify How To Add Brands info box,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-033,Verify close button on info box,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-034,Verify sorting by Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-035,Verify sorting by Created On,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-036,Verify Breadcrumb functionality,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-037,Verify spinner during data loading,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-038,Verify font consistency,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-039,Verify dropdown closes on outside click,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-040,Verify All Products tab shows product count,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-041,Verify vertical scrollbar for large lists,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-042,Verify Previous button disabled on Page 1,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-043,Verify Next button disabled on last page,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-044,Verify URL updates on pagination,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-045,Verify responsive layout on 1280px,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-046,Verify responsive layout on 1920px,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-047,Verify mobile layout rendering,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-048,Verify dark mode rendering (if applicable),P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-049,Verify accessibility focus indicators,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-050,Verify color contrast ratios,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
1. Brands Dashboard UI,BD-UI-051,Verify Delete option in Actions dropdown,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-001,Verify XSS in Brand Name,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-002,Verify SQLi in Brand Name,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-003,Verify Session Timeout on save,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-004,Verify Unauthorized direct URL access,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-005,Verify Concurrent edit collision,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-006,Verify Network disconnect on save,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-007,Verify Browser Back after submit,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-008,Verify Rapid Double Click on submit,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-009,Verify numeric value in Email field,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-010,Verify large int in Brand ID filter,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-011,Verify 1M rows CSV upload,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-012,Verify UTF-16 encoded CSV,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-013,Verify window resize to 300px,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-014,Verify direct API POST missing fields,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-015,Verify direct API POST invalid key,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-016,Verify emojis in Brand Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-017,Verify non-English chars in Brand Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-018,Verify manage deleted brand,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-019,Verify negative items per page,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-020,Verify empty mandatory fields CSV steps,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-021,Verify rapid tab switching,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-022,Verify 500+ chars in Email filter,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-023,Verify non-numeric in Brand ID filter,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-024,Verify 0 rows CSV upload,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-025,Verify multiple Add Brand modals,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-026,Verify CSRF token validation,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-027,Verify Clickjacking protection,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-028,Verify Content Security Policy,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-029,Verify HTTP Strict Transport Security,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-030,Verify cookie secure flag,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-031,Verify cookie HttpOnly flag,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-032,Verify brute force API protection,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-033,Verify mass assignment vulnerability,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-034,Verify parameter tampering,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-035,Verify directory traversal on CSV upload,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-036,Verify XML External Entity on CSV,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-037,Verify Server Side Request Forgery,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-038,Verify open redirect vulnerability,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-039,Verify broken access control,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-040,Verify insecure direct object reference,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-041,Verify security misconfiguration,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-042,Verify cross-origin resource sharing,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-043,Verify sensitive data exposure,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-044,Verify broken authentication,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-045,Verify insufficient logging,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-046,Verify unvalidated redirects,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-047,Verify components with known vulnerabilities,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-048,Verify API rate limit bypass,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-049,Verify session fixation,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
10. Advanced Edge & Security,ES-SE-050,Verify account takeover attempts,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-001,Verify modal opens on Add Brand click,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-002,Verify Brand Name field presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-003,Verify Company field presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-004,Verify Email field presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-005,Verify Phone field presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-006,Verify Status dropdown presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-007,Verify Geo selector presence,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-008,Verify mandatory field markers (*),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-009,Verify save with only mandatory fields,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-010,Verify save with all fields,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-011,Verify validation: Empty Brand Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-012,Verify validation: Empty Company,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-013,Verify validation: Invalid Email format,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-014,Verify duplicate Brand Name check,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-015,Verify special characters in Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-016,Verify leading spaces trim in Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-017,Verify trailing spaces trim in Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-018,Verify numeric Brand Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-019,Verify Brand Name min length (1 char),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-020,Verify Brand Name max length (255 chars),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-021,Verify over max length (256 chars),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-022,Verify modal close on Cancel,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-023,Verify modal close on 'X' button,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-024,Verify success toast message,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-025,Verify Submit button loading state,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-026,Verify Tab navigation order,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-027,Verify Enter key submission,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-028,Verify Esc key close,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-029,Verify Phone Number validation,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-030,Verify Geo multi-select functionality,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-031,Verify dropdown search in Company,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-032,Verify default status is Active,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-033,Verify character counter updates,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-034,Verify clear/reset button,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-035,Verify pasting long text in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-036,Verify SQL injection in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-037,Verify XSS payload in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-038,Verify HTML tags in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-039,Verify Emojis in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-040,Verify non-English chars in Name,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-041,Verify concurrent brand creation,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-042,Verify double click prevention on Submit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-043,Verify form state persistence on accidental close,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-044,Verify unsaved changes warning,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-045,Verify network failure handling during save,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-046,Verify session timeout during save,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-047,Verify large payload handling,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-048,Verify audit log entry creation,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-049,Verify auto-focus on first field,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
2. Add Brand Modal,AB-CR-050,Verify tooltips on complex fields,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-001,Verify modal opens on Manage click,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-002,Verify pre-filled data accuracy,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-003,Verify modify Name and save,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-004,Verify change Status to Inactive,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-005,Verify change Status to Active,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-006,Verify View Change Timeline link,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-007,Verify Update Contact Details,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-008,Verify Update Geo selection,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-009,Verify Update Company,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-010,Verify mandatory fields empty on update,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-011,Verify success toast on edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-012,Verify audit log entry on edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-013,Verify cancel edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-014,Verify close edit modal,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-015,Verify edit collision (multi-user),P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-016,Verify edit brand name to existing name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-017,Verify edit to max length name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-018,Verify edit email to invalid format,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-019,Verify edit phone to invalid format,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-020,Verify remove all geos,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-021,Verify select all geos,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-022,Verify edit status impacts products,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-023,Verify submit without any changes,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-024,Verify form dirtiness tracking,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-025,Verify network error during edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-026,Verify session timeout during edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-027,Verify XSS payload on edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-028,Verify SQLi on edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-029,Verify emojis on edit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-030,Verify edit from different timezone,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-031,Verify edit reflecting immediately in list,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-032,Verify edit reflecting in products list,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-033,Verify edit reflecting in filters,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-034,Verify edit reflecting in search,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-035,Verify edit reflecting in API,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-036,Verify edit reflecting in reports,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-037,Verify edit reflecting in activity log,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-038,Verify edit history pagination,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-039,Verify edit history sorting,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-040,Verify edit history filtering,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-041,Verify user permissions for edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-042,Verify view-only access,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-043,Verify admin override edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-044,Verify edit rate limiting,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-045,Verify payload size limits on edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-046,Verify cache invalidation post-edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-047,Verify UI sync across multiple tabs,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-048,Verify rollback functionality (if any),P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-049,Verify API response codes on edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
3. Edit Brand Modal,EB-CR-050,Verify API response schema on edit,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-001,Verify All Products tab loads,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-002,Verify Edit Product modal opens,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-003,Verify mandatory fields in product,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-004,Verify Brand dropdown format,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-005,Verify Add Product with valid data,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-006,Verify Add Product empty name,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-007,Verify Add Product empty brand,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-008,Verify duplicate Product Name (same brand),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-009,Verify duplicate Product Name (diff brand),P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-010,Verify Product Name max length,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-011,Verify Product Name min length,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-012,Verify Edit Product change brand,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-013,Verify Edit Product change status,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-014,Verify Edit Product timeline link,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-015,Verify Edit Product submit,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-016,Verify Edit Product cancel,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-017,Verify Edit Product success toast,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-018,Verify Product list columns,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-019,Verify Product status toggle,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-020,Verify sorting products by Name,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-021,Verify pagination on All Products,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-022,Verify Search on All Products,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
4. Products Management,PR-CR-023,Verify Manage button redirects,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
